0	s
1	s
2	t
3	s
4	t
5	t
6	t
7	s
8	t
9	t
10	t
11	t
12	t
13	s
14	s
15	t
16	t
17	s
18	t
19	t
20	t
21	t
22	t
23	t
24	t
25	t
26	t
27	s
28	t
29	t
30	s
31	s
32	t
33	s
34	s
35	t
36	t
37	s
38	t
39	t
40	t
41	t
42	t
43	s
44	s
45	s
46	s
47	t
48	s
49	s
50	s
51	s
52	t
53	s
54	t
55	s
56	t
57	t
58	t
59	s
60	s
61	t
62	t
63	t
64	t
65	t
66	s
67	t
68	s
69	t
70	s
71	t
72	t
73	s
74	t
75	s
76	t
77	t
78	t
79	t
80	t
81	s
82	s
83	s
84	t
85	t
86	t
87	s
88	s
89	s
90	s
91	t
92	s
93	t
94	t
95	t
96	t
97	t
98	t
99	s
100	t
101	t
102	t
103	t
104	t
105	s
106	s
107	t
108	s
109	s
110	s
111	t
112	s
113	t
114	t
115	t
116	s
117	t
118	t
119	t
120	t
121	s
122	t
123	s
124	t
125	t
126	t
127	s
128	s
129	s
130	s
131	s
132	t
133	t
134	t
135	s
136	s
137	s
138	t
139	t
140	s
141	s
142	s
143	t
144	t
145	s
146	s
147	s
148	t
149	t
150	s
151	t
152	t
153	s
154	t
155	s
156	s
157	t
158	s
159	t
160	t
161	s
162	t
163	t
164	s
165	s
166	t
167	s
168	s
169	s
170	s
171	s
172	t
173	t
174	t
175	s
176	s
177	s
178	s
179	t
180	t
181	t
182	s
183	t
184	s
185	t
186	s
187	s
188	s
189	s
190	t
191	s
192	s
193	s
194	t
195	s
196	t
197	t
198	t
199	s
200	s
201	s
202	s
203	s
204	t
205	t
206	t
207	s
208	s
209	t
210	s
211	t
212	s
213	t
214	t
215	s
216	s
217	s
218	t
219	s
220	t
221	t
222	t
223	s
224	t
225	s
226	s
227	t
228	t
229	t
230	t
231	s
232	t
233	s
234	t
235	s
236	t
237	s
238	s
239	s
240	t
241	s
242	t
243	t
244	t
245	t
246	s
247	s
248	t
249	s
250	s
251	s
252	s
253	s
254	s
255	t
256	s
257	s
258	t
259	s
260	s
261	t
262	t
263	t
264	t
265	s
266	s
267	s
268	t
269	t
270	t
271	s
272	t
273	t
274	s
275	t
276	s
277	t
278	t
279	s
280	s
281	t
282	s
283	s
284	t
285	s
286	s
287	s
288	t
289	t
290	s
291	t
292	s
293	t
294	s
295	t
296	t
297	s
298	t
299	s
300	t
301	t
302	t
303	s
304	s
305	s
306	t
307	s
308	t
309	s
310	s
311	t
312	t
313	s
314	s
315	t
316	s
317	s
318	t
319	t
320	t
321	t
322	s
323	s
324	t
325	s
326	t
327	s
328	s
329	s
330	t
331	t
332	t
333	s
334	t
335	t
336	s
337	t
338	s
339	t
340	t
341	t
342	s
343	t
344	s
345	s
346	s
347	s
348	t
349	t
350	s
351	t
352	s
353	t
354	s
355	s
356	t
357	s
358	t
359	t
360	t
361	t
362	s
363	s
364	s
365	s
366	t
367	t
368	s
369	t
370	s
371	t
372	t
373	t
374	t
375	s
376	s
377	t
378	t
379	t
380	t
381	s
382	s
383	t
384	t
385	t
386	s
387	s
388	t
389	t
390	t
391	s
392	s
393	t
394	t
395	t
396	t
397	s
398	s
399	s
400	t
401	t
402	t
403	t
404	s
405	s
406	t
407	t
408	s
409	t
410	t
411	t
412	t
413	s
414	t
415	s
416	t
417	t
418	t
419	s
420	t
421	t
422	t
423	s
424	t
425	s
426	s
427	s
428	t
429	t
430	s
431	t
432	t
433	t
434	s
435	t
436	s
437	s
438	s
439	t
440	t
441	t
442	t
443	t
444	s
445	s
446	s
447	t
448	t
449	s
450	t
451	t
452	s
453	s
454	t
455	t
456	s
457	t
458	t
459	t
460	t
461	s
462	s
463	s
464	t
465	t
466	s
467	s
468	t
469	t
470	s
471	s
472	s
473	t
474	s
475	t
476	t
477	s
478	s
479	t
480	s
481	t
482	t
483	s
484	t
485	s
486	s
487	t
488	s
489	s
490	s
491	s
492	t
493	t
494	s
495	s
496	s
497	t
498	s
499	s
500	s
501	t
502	s
503	s
504	t
505	s
506	t
507	t
508	s
509	t
510	s
511	s
512	t
513	s
514	s
515	s
516	t
517	t
518	s
519	s
520	t
521	t
522	s
523	t
524	t
525	s
526	s
527	s
528	t
529	t
530	t
531	t
532	t
533	t
534	s
535	t
536	s
537	s
538	t
539	s
540	s
541	s
542	t
543	s
544	t
545	t
546	t
547	t
548	t
549	t
550	t
551	t
552	t
553	t
554	s
555	t
556	s
557	t
558	t
559	s
560	s
561	s
562	t
563	t
564	t
565	s
566	t
567	t
568	s
569	s
570	s
571	t
572	t
